satellite,date,lat,lon,pointid,B1,B2,B3,B4,B5,B6,B7,B10,B11,pixel_qa,radsat_qa,sr_aerosol
LANDSAT/LC08/C01/T1_SR/LC08_132043_20151024,2015-10-24,97.65316772460938,24.15859031677246,001_1,236,213,297,176,2650,1204,476,2932,2918,322,0,96
LANDSAT/LC08/C01/T1_SR/LC08_132043_20151109,2015-11-09,97.65316772460938,24.15859031677246,001_1,215,195,282,165,2533,1162,469,2921,2910,322,0,96
LANDSAT/LC08/C01/T1_SR/LC08_132043_20151125,2015-11-25,97.65316772460938,24.15859031677246,001_1,245,219,297,170,2350,1102,447,2889,2876,322,0,96
LANDSAT/LC08/C01/T1_SR/LC08_132043_20151211,2015-12-11,97.65316772460938,24.15859031677246,001_1,145,170,318,187,2302,1001,419,2877,2869,322,0,160
LANDSAT/LC08/C01/T1_SR/LC08_132043_20151227,2015-12-27,97.65316772460938,24.15859031677246,001_1,200,214,344,216,2344,1104,471,2869,2863,322,0,160
LANDSAT/LC08/C01/T1_SR/LC08_132043_20160112,2016-01-12,97.65316772460938,24.15859031677246,001_1,151,169,300,189,2118,982,415,2858,2855,322,0,160
LANDSAT/LC08/C01/T1_SR/LC08_132043_20160128,2016-01-28,97.65316772460938,24.15859031677246,001_1,785,692,717,532,2036,965,551,2813,2801,328,0,144
LANDSAT/LC08/C01/T1_SR/LC08_132043_20160213,2016-02-13,97.65316772460938,24.15859031677246,001_1,167,220,434,290,2142,1138,524,2892,2882,322,0,224
LANDSAT/LC08/C01/T1_SR/LC08_132043_20160229,2016-02-29,97.65316772460938,24.15859031677246,001_1,213,231,375,243,2335,1156,516,2897,2884,322,0,160
LANDSAT/LC08/C01/T1_SR/LC08_132043_20160316,2016-03-16,97.65316772460938,24.15859031677246,001_1,1290,1248,1149,1049,2132,1135,779,2771,2737,992,0,8
LANDSAT/LC08/C01/T1_SR/LC08_132043_20160401,2016-04-01,97.65316772460938,24.15859031677246,001_1,204,233,454,266,3096,1245,534,2910,2895,322,0,160
LANDSAT/LC08/C01/T1_SR/LC08_132043_20160417,2016-04-17,97.65316772460938,24.15859031677246,001_1,480,476,590,372,2189,840,361,2880,2863,328,0,208
LANDSAT/LC08/C01/T1_SR/LC08_132043_20160503,2016-05-03,97.65316772460938,24.15859031677246,001_1,2113,2165,2501,2504,4413,3933,3011,2890,2862,480,0,8
LANDSAT/LC08/C01/T1_SR/LC08_132043_20160604,2016-06-04,97.65316772460938,24.15859031677246,001_1,401,367,539,277,4047,1840,733,2939,2915,322,0,160
LANDSAT/LC08/C01/T1_SR/LC08_132043_20160823,2016-08-23,97.65316772460938,24.15859031677246,001_1,255,305,566,378,3569,1590,765,2839,2801,322,0,224
LANDSAT/LC08/C01/T1_SR/LC08_132043_20160908,2016-09-08,97.65316772460938,24.15859031677246,001_1,3978,3927,3792,3697,4920,1563,1194,2730,2710,480,0,8
LANDSAT/LC08/C01/T1_SR/LC08_132043_20160924,2016-09-24,97.65316772460938,24.15859031677246,001_1,5040,5100,5240,5242,6531,4401,3356,2637,2631,992,0,8
LANDSAT/LC08/C01/T1_SR/LC08_132043_20161010,2016-10-10,97.65316772460938,24.15859031677246,001_1,465,422,417,319,1695,784,433,2892,2871,352,0,144
LANDSAT/LC08/C01/T1_SR/LC08_132043_20161111,2016-11-11,97.65316772460938,24.15859031677246,001_1,6141,6355,6548,6738,7581,5549,4154,2846,2839,480,0,8
LANDSAT/LC08/C01/T1_SR/LC08_132043_20161127,2016-11-27,97.65316772460938,24.15859031677246,001_1,243,245,373,251,2688,1142,480,2901,2891,322,0,96
LANDSAT/LC08/C01/T1_SR/LC08_132043_20161213,2016-12-13,97.65316772460938,24.15859031677246,001_1,208,187,270,157,2468,1074,433,2878,2873,322,0,96
LANDSAT/LC08/C01/T1_SR/LC08_132043_20161229,2016-12-29,97.65316772460938,24.15859031677246,001_1,207,190,284,169,2315,986,411,2882,2875,322,0,96
LANDSAT/LC08/C01/T1_SR/LC08_132043_20170114,2017-01-14,97.65316772460938,24.15859031677246,001_1,228,198,285,166,2356,996,408,2862,2859,322,0,96
LANDSAT/LC08/C01/T1_SR/LC08_132043_20170130,2017-01-30,97.65316772460938,24.15859031677246,001_1,214,211,322,194,2404,1020,432,2884,2881,322,0,96
LANDSAT/LC08/C01/T1_SR/LC08_132043_20170215,2017-02-15,97.65316772460938,24.15859031677246,001_1,56,88,243,115,1295,469,231,2860,2849,322,0,224
LANDSAT/LC08/C01/T1_SR/LC08_132043_20170303,2017-03-03,97.65316772460938,24.15859031677246,001_1,193,228,398,282,2454,1180,529,2931,2919,322,0,160
LANDSAT/LC08/C01/T1_SR/LC08_132043_20170319,2017-03-19,97.65316772460938,24.15859031677246,001_1,191,232,424,292,2666,1229,544,2922,2911,322,0,160
LANDSAT/LC08/C01/T1_SR/LC08_132043_20170404,2017-04-04,97.65316772460938,24.15859031677246,001_1,3568,3583,3540,3503,4661,3955,3635,2715,2690,480,0,8
LANDSAT/LC08/C01/T1_SR/LC08_132043_20170420,2017-04-20,97.65316772460938,24.15859031677246,001_1,3050,3016,2864,2783,3707,2511,1867,2688,2698,480,0,8
LANDSAT/LC08/C01/T1_SR/LC08_132043_20170506,2017-05-06,97.65316772460938,24.15859031677246,001_1,7361,7470,7582,7731,8159,6642,5680,2589,2597,992,0,8
LANDSAT/LC08/C01/T1_SR/LC08_132043_20170522,2017-05-22,97.65316772460938,24.15859031677246,001_1,435,404,569,323,4433,1853,738,2957,2937,322,0,96
LANDSAT/LC08/C01/T1_SR/LC08_132043_20170607,2017-06-07,97.65316772460938,24.15859031677246,001_1,2376,2404,2406,2421,3982,2942,2477,2896,2887,480,0,8
LANDSAT/LC08/C01/T1_SR/LC08_132043_20170927,2017-09-27,97.65316772460938,24.15859031677246,001_1,4327,4389,4378,4380,5938,4204,3193,2848,2834,480,0,8
LANDSAT/LC08/C01/T1_SR/LC08_132043_20171029,2017-10-29,97.65316772460938,24.15859031677246,001_1,2796,2737,2955,2785,4658,3363,3041,2757,2731,480,0,8
LANDSAT/LC08/C01/T1_SR/LC08_132043_20171114,2017-11-14,97.65316772460938,24.15859031677246,001_1,179,166,253,147,2523,1090,425,2911,2903,322,0,96
LANDSAT/LC08/C01/T1_SR/LC08_132043_20171130,2017-11-30,97.65316772460938,24.15859031677246,001_1,208,194,270,150,2486,1049,421,2892,2885,322,0,96
LANDSAT/LC08/C01/T1_SR/LC08_132043_20171216,2017-12-16,97.65316772460938,24.15859031677246,001_1,229,196,277,146,2418,968,390,2877,2875,322,0,96
LANDSAT/LC08/C01/T1_SR/LC08_132043_20180101,2018-01-01,97.65316772460938,24.15859031677246,001_1,6191,6157,6044,5953,6277,1366,1524,2523,2528,992,0,8
LANDSAT/LC08/C01/T1_SR/LC08_132043_20180117,2018-01-17,97.65316772460938,24.15859031677246,001_1,171,192,352,208,2726,1170,505,2866,2861,322,0,224
LANDSAT/LC08/C01/T1_SR/LC08_132043_20180202,2018-02-02,97.65316772460938,24.15859031677246,001_1,169,222,435,265,2480,1075,477,2868,2859,322,0,224
LANDSAT/LC08/C01/T1_SR/LC08_132043_20180218,2018-02-18,97.65316772460938,24.15859031677246,001_1,204,205,339,219,2475,1098,479,2907,2900,322,0,96
LANDSAT/LC08/C01/T1_SR/LC08_132043_20180306,2018-03-06,97.65316772460938,24.15859031677246,001_1,7679,7755,8062,8123,8258,5701,4645,2604,2615,992,0,8
LANDSAT/LC08/C01/T1_SR/LC08_132043_20180322,2018-03-22,97.65316772460938,24.15859031677246,001_1,6366,6543,6591,6793,7346,5223,3985,2726,2732,992,0,8
LANDSAT/LC08/C01/T1_SR/LC08_132043_20180423,2018-04-23,97.65316772460938,24.15859031677246,001_1,85,161,490,252,3536,1558,688,2939,2914,322,0,224
LANDSAT/LC08/C01/T1_SR/LC08_132043_20180509,2018-05-09,97.65316772460938,24.15859031677246,001_1,82,89,210,68,1469,509,235,2930,2910,328,0,208
LANDSAT/LC08/C01/T1_SR/LC08_132043_20180914,2018-09-14,97.65316772460938,24.15859031677246,001_1,636,579,589,443,1563,617,356,2847,2826,416,0,144
LANDSAT/LC08/C01/T1_SR/LC08_132043_20180930,2018-09-30,97.65316772460938,24.15859031677246,001_1,6979,7111,7207,7214,7788,4113,2663,2833,2825,480,0,8
LANDSAT/LC08/C01/T1_SR/LC08_132043_20181016,2018-10-16,97.65316772460938,24.15859031677246,001_1,379,331,414,240,3296,1374,542,2919,2904,328,0,80
LANDSAT/LC08/C01/T1_SR/LC08_132043_20181101,2018-11-01,97.65316772460938,24.15859031677246,001_1,6615,6690,6771,6815,7349,5437,4204,2684,2686,480,0,8
LANDSAT/LC08/C01/T1_SR/LC08_132043_20181117,2018-11-17,97.65316772460938,24.15859031677246,001_1,159,185,338,205,2611,1125,467,2897,2889,322,0,160
